div_encoded,index_encoded,slot_mean,slot_median,slot_std
0,1,1298.73417721519,1100.0,545.4341306732093
0,2,1620.0873362445416,1600.0,473.0806014801503
0,3,1879.2207792207791,1800.0,456.54781996431944
0,4,2074.8837209302324,2000.0,427.2514421593114
0,5,2322.0588235294117,2300.0,475.8747987747974
0,6,2447.0588235294117,2500.0,519.7492846415942
0,7,2611.764705882353,2600.0,571.2277100332844
0,8,2459.493670886076,2400.0,652.9306139340649
1,1,800.0,800.0,0.0
1,2,800.0,800.0,0.0
1,3,911.7647058823529,800.0,161.56404667026194
1,4,1106.25,1100.0,118.14539065631521
1,5,1287.5,1200.0,162.78820596099703
1,6,1556.25,1500.0,260.68819177963036
1,7,1740.0,1700.0,337.794705639231
1,8,1937.5,2000.0,370.0868623908254
2,1,823.3333333333334,800.0,75.29586832698621
2,2,941.4634146341464,900.0,171.74458221263401
2,3,1172.3577235772357,1100.0,201.34824778621444
2,4,1448.4375,1400.0,238.42804589826716
2,5,1691.7910447761194,1700.0,243.7330314009421
2,6,1950.381679389313,1900.0,223.39135917506076
2,7,2095.294117647059,2100.0,205.8119127197621
2,8,2306.6666666666665,2300.0,228.24381283013582
3,1,1044.0,1000.0,264.7010892812243
3,2,1356.0,1400.0,248.46193538112308
3,3,1668.0,1600.0,247.85748593361737
3,4,1892.0,1900.0,236.14967005411356
3,5,2164.0,2200.0,172.91616465790582
3,6,2524.0,2500.0,281.7800560721074
3,7,2416.6666666666665,2400.0,132.9160135825126
4,1,915.0192554557125,800.0,180.09664183420807
4,2,1221.6601815823606,1200.0,249.64461745213757
4,3,1567.5675675675675,1600.0,244.64007384981352
4,4,1949.8161764705883,1900.0,256.6248618856712
4,5,2318.9591078066915,2300.0,263.36391791499756
4,6,2638.905775075988,2600.0,294.7818854628531
4,7,2686.842105263158,2700.0,314.6816826628282
4,8,2433.3333333333335,2300.0,321.45502536643187
5,1,860.6060606060606,800.0,135.73592901012768
5,2,1153.030303030303,1100.0,215.7061369760665
5,3,1479.7101449275362,1400.0,227.89297678110916
5,4,1907.3529411764705,1900.0,237.723140404458
5,5,2283.823529411765,2300.0,250.14043465630266
5,6,2712.8205128205127,2700.0,306.7885495242841
5,7,3149.2753623188405,3200.0,272.0419455145697
5,8,3351.5625,3450.0,253.22816582729104
6,1,1556.420233463035,1600.0,264.36766105938096
6,2,1918.8976377952756,1900.0,248.38841299427176
6,3,2324.710424710425,2300.0,279.8245109106919
6,4,2705.4945054945056,2700.0,302.08684864474185
6,5,3036.785714285714,3100.0,305.8046975715638
6,6,3290.09009009009,3400.0,281.53958383242895
6,7,3292.8571428571427,3500.0,387.2273943628666
6,8,2408.3333333333335,2550.0,437.8840305862093
7,1,862.5,800.0,101.34958870382644
7,2,1112.5,1100.0,240.13130466113924
7,3,1500.0,1400.0,308.84399845976515
7,4,1796.1538461538462,1800.0,240.79994888831555
7,5,2304.0,2300.0,283.54893757515646
7,6,2640.740740740741,2600.0,291.2298316018035
7,7,3155.5555555555557,3200.0,242.3178671042412
7,8,3303.2258064516127,3300.0,212.10668851271043
